type,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,distance_to_center,floor-area-estimate
Flat,False,102,9th,3,2,True,True,False,True,True,True,False,True,False,False,False,False,"Calle Profesor Waksman, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,76.5
Flat,False,75,2nd,1,1,True,True,False,True,True,True,True,False,False,False,True,False,"Avenida Pio XII, 92, Urb. 92, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.621861817082542,56.25
Flat,False,72,4th,2,1,True,True,False,True,True,True,False,False,False,False,False,False,"Calle Antonio Pérez, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.4034592681459146,62.0
Flat,False,166,1st,4,2,True,True,False,True,True,False,True,False,False,False,False,False,", Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.037392393735278,165.0
Flat,False,50,3rd,1,1,True,True,False,True,True,False,True,False,False,False,False,False,"Calle del Corazón de María, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.354667049428781,37.5
Flat,False,191,4th,4,3,True,True,True,True,True,True,True,True,False,False,False,False,"Barrio Nueva España, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.575755458856423,149.0
Flat,False,161,3rd,3,2,True,True,False,True,True,True,True,False,False,False,False,False,"Avenida de Alberto de Alcocer, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.966892516819368,160.0
Flat,False,153,8th,2,2,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,114.75
Flat,False,220,5th,4,3,True,True,True,True,True,True,True,False,False,False,False,False,"Calle de Rafael Salgado, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,165.0
Flat,False,200,8th,4,3,True,True,True,True,True,True,False,True,True,False,True,False,"Avenida de Pío XII, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.715079668478869,150.0
Flat,False,40,ground,1,1,True,True,False,True,True,True,True,False,False,True,False,False,"Paseo de la Castellana, 274, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.574224846334474,38.0
Flat,False,180,8th,3,3,True,True,False,True,True,True,True,False,False,False,False,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,135.0
